Stufe;Place1;Place2;Place3;Place4;Place5;Longitude;Latitude;Zoom;Icon
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Grünewald;;E14.0000;N51.4000;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Lindenau;;E13.7333;N51.4000;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Hohenbocka;;E14.0098;N51.4310;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Schwarzbach;;E13.9333;N51.4500;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Guteborn;;E13.9333;N51.4167;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Hermsdorf;;E13.8937;N51.4055;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Ruhland;;E13.8664;N51.4576;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Tettau;;E13.7333;N51.4333;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Kroppen;;E13.8000;N51.3833;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Schipkau Hörlitz;;E13.9508;N51.5299;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Senftenberg;;E14.0016;N51.5252;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Schipkau;;E13.9121;N51.5456;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Lauchhammer;;E13.7662;N51.4881;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Neu-Seeland;;E14.1309;N51.6214;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Großräschen;;E14.0109;N51.5876;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Schwarzheide;;E13.8556;N51.4767;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Ortrand;;E13.7598;N51.3750;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Großkmehlen;;E13.7250;N51.3790;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Frauendorf;;E13.7696;N51.4148;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Schipkau Schipkau;;E13.8981;N51.5101;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Schipkau;;E13.9121;N51.5456;12;
4;DE;Brandenburg;Landkreis Oberspreewald-Lausitz;Schipkau Annahütte/ Annahütte;;E13.8955;N51.5632;12;
